,Deposit,DepositGroup,DepositType,Country,Region,Lat,Lon,Age_Ma,Age_Error_Ma,Age_Method,Age_Confidence,Ore_Tonnage_Mt,Cu_Grade_Percent,Cu_Tonnage_Mt,Tectonic_Setting,Source,References,Notes,Recon_Age_Ma,Age_Mod_Flag,Plate_ID
0,Area 55,SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-13.01,130.97,1632.0,,Regional correlation,2.0,17.7,0.58,0.1025,,Huston_2024,https://portal.ga.gov.au; Ahmad et al. (2006); Compass Resources (2008); ; Compass Resources (2008),"Endowment includes mineral resources only. These include a sulfide resource of 12.2 Mt at 0.49% Cu, 0.56% Pb, 0.14% Co and 0.14% Ni, and an oxide resource of 5.48 Mt at 0.78% Cu, 0.14% Co and 0.15% Ni.",1632.0,0,801
1,Browns (includes East Browns),SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-13.0,131.0,1632.0,,Ore mineral,2.0,64.2,0.53,0.3385,,Huston_2024,https://portal.ga.gov.au; Von Pechmann (1986); Sun et al. (1996a); McCready et al. (2004); Ahmad et al. (2006); Compass Resources (2008); Johansen and Johnstone (2017); Sun et al. (1996a); Jaireth (2011); Compass Resources (2008); Johansen and Johnstone (2017),"The cited lead isotope model age uses the Northern Australia model of Sun et al. (1996a) and is similar to the age of the nearby Kylie uranium prospect (1627 ± 45 Ma), which was based on a the upper intercept of whole-rock U-Pb discordia (Von Pechmann, 1986). Endowment includes mineral resources only and include a sulfide resource of 60.9 Mt at 0.51% Cu, 0.62% Pb, 3.28% Pb, 0.10% Co and 0.09% Ni (Johansen and Johnstone, 2017), an oxide copper resources of 2.64 Mt at 1.02% Cu, 0.12% Co and 0.10% Ni, and an oxide lead resource of 0.70 Mt at 0.14% Cu, 4.36% Pb, 0.04% Co and 0.04% Ni (Compass Resources, 2008).",1632.0,0,801
2,Dysons,SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-12.98,131.02,1627.0,,Regional correlation,2.0,0.2,,,,Huston_2024,https://portal.ga.gov.au; Ahmad and Hollis (2013); Ahmad and Khan (2013); ; McKay and Miezitis (2001),Cited endowment includes include production only.,1627.0,0,801
3,Emmie Bluff,SedCu,Shale-hosted copper ± cobalt,Australia,South Australia,-31.11,137.15,,,,,40.2,1.3,0.5105,,Huston_2024,https://portal.ga.gov.au; Knutson et al. (1983); Lambert et al. (1987); Tonkin and Creelman (1990); Huston and Connolly (2011); ; CODA minerals (2020),Endowment includes indicated and inferred resources,0.0,1,801
4,Intermediate,SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-12.99,131.0,1627.0,,Regional correlation,2.0,0.7,2.13,0.0156,,Huston_2024,https://portal.ga.gov.au; Ahmad et al. (2006); Johansen and Johnstone (2017); ; Ahmad et al. (2006),Endowment includes production only.,1627.0,0,801
5,Kalkaroo,SedCu,Shale-hosted copper ± cobalt,Australia,South Australia,-31.73,140.53,1592.0,21.0,Ore-related mineral,4.0,345.6,0.5,1.5741,,Huston_2024,https://portal.ga.gov.au; Williams and Skirrow (2000); Reid and Gregory (2012); Giles and Just (2017); Williams and Skirrow (2000); Reid and Gregory (2012); Havilah Resources Limited (2020),"The cited age is that of hydrothermal monazite, and is supported by an age of 1590 ± 36 Ma provided by allanite from the same sample (Reid and Gregory, 2012). A alternative, and slightly older age, is provided by the midpoint of an age range (1632-1624 Ma) based on molybdenite Re-Os analyses by Williams and Skirrow (2000). No uncertainties were provided in the latter reference. Endowment includes mineral resources and reserves, including an oxide gold cap and a sulfide Cu-Au zone. Resources include a 193Mt @ 0.012% Co inferred resources that hosted within the Cu zone.",1592.0,0,801
6,Kylie,SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-13.2,130.96,1627.0,45.0,Alteration mineral,3.0,,,,,Huston_2024,https://portal.ga.gov.au; Ahmad and Hollis (2013); Ahmad and Khan (2013); Von Pechmann (1986),Cited age is an upper intercept of whole-rock U-Pb discordia. Locally anomalous in platinum and palladium.,1627.0,0,801
7,Maroochydore,SedCu,Shale-hosted copper ± cobalt,Australia,Western Australia,-22.2,122.31,822.0,,District correlation,2.0,48.6,1.0,0.4863,,Huston_2024,https://portal.ga.gov.au; McKnight (1992); Reed (1996); Maidment et al. (2017); Porter (2017c); McKnight (1992); Reed (1996); Porter (2017c),"Cited age is by analogy with Nifty age, but older than phlogopite K-Ar and Ar-Ar ages of ca 754 Ma (McKnight, 1992) and ca 717 Ma (Reed, 1996), respectively. These latter ages are unique in the Patterson Province and their significance is uncertain. Endowment includes total mineral resources.",822.0,0,801
8,Mount Fitch,SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-12.95,130.95,1627.0,,Regional correlation,2.0,19.6,0.041,0.0081,,Huston_2024,https://portal.ga.gov.au; Ahmad et al. (2006); Compass Resources (2008); Ahmad and Hollis (2013); Ahmad and Khan (2013); Johansen and Johnstone (2017); ; Compass Resources (2008),"Endowment includes mineral resources only. These include a copper oxide resource of 1.3 Mt at 0.60% Cu, 0.21% Co and 0.20% Ni, and a uranium resource 18.3 Mt at 0.036% U3O8 (at 0.50 lb/t U3O8 cutoff).",1627.0,0,801
9,"Mount Gunson (includes Cattlegrid; Cattlegrid South; East and West Lagoon; Main Open Cut, House and Gunyot; MG14; tailings and Windabout)",SedCu,Shale-hosted copper ± cobalt,Australia,South Australia,-31.45,137.17,,,,,35.2,0.93,0.3262,,Huston_2024,"https://portal.ga.gov.au; Knutson et al. (1983); Lambert et al. (1987); Tonkin and Creelman (1990); Huston and Connolly (2011); ; Huston and Connolly (2011), CODA minerals (2020)","Endowment includes production (7.5 Mt at 1.9% Cu and 8.3 g/t Ag at Cattlegrid; 0.032 Mt at 3.5% Cu and 12 g/t and 0 .27 Mt at unspecified grade at Main Open Cut, House and Gunyot combined; 0.234 Mt at 0.79% Cu and 12 g/t Ag at East and West Lagoon), tailings (7.2 Mt at 0.14% Cu and 0.01% Co) and mineral resources (0.7 Mt at 1.7% Cu and 10 g/t Ag at Cattlegrid South; 1.83 Mt at 1.24% Cu, 14 g/t Ag and 0.033% Co at MG14; and 17.67 Mt at 0.77% Cu, 8 g/t Ag and 0.049% Co at Windabout).",0.0,1,801
